rep	outcome	time
339	-1	3039.803909
340	1	674.399349
341	1	399.110904
342	-1	5865.156753
343	-1	5271.587783
344	-1	2939.836265
345	-1	3953.156357
346	1	435.935837
347	1	6808.795660
348	1	4370.875399
349	-1	3338.007897
350	-1	3178.490103
351	-1	3472.941891
352	-1	5408.676265
353	-1	4058.836670
354	1	339.922421
355	-1	1430.844806
356	-1	915.298971
357	1	2270.656794
358	-1	2246.310682
359	1	706.145762
360	1	1641.043440
361	-1	7321.788920
362	-1	5723.369535
363	1	896.850865
364	-1	2339.490574
365	1	4591.211340
366	1	1787.204730
367	-1	5124.757173
368	-1	1979.981887
369	0	15000.396233
370	-1	958.028422
371	-1	6579.587785
372	-1	6175.252975
373	-1	13982.550473
374	1	3540.882962
375	-1	2378.224487
376	-1	3181.536882
377	1	1470.501933
378	-1	1577.190482
379	-1	2356.283762
380	1	1562.219769
381	1	3746.546344
382	-1	5144.862712
383	-1	5719.603341
384	-1	9001.426326
385	1	1383.042215
386	-1	6562.290146
387	-1	9675.005259
388	-1	3050.421605
389	-1	1280.593618
390	-1	1616.686038
391	-1	5476.955333
392	1	2782.245824
393	-1	11092.604610
394	1	547.517766
395	1	1083.100894
396	-1	2779.987406
397	-1	1843.680586
398	1	825.185116
399	-1	1295.920618
400	1	352.652725
401	-1	2043.033808
402	1	5059.380098
403	-1	6157.197405
404	-1	4037.381640
405	-1	3173.930920
406	1	878.433628
407	-1	1543.398992
408	1	768.887322
409	-1	6479.395196
410	1	505.637784
411	1	5816.231291
412	1	712.016653
413	1	1737.641414
414	1	1148.061254
415	-1	2764.128568
416	-1	778.306464
417	-1	3603.280919
418	-1	7677.925421
419	-1	6437.196381
420	-1	1561.653458
421	-1	3971.548960
422	-1	5361.743912
423	-1	2169.799518
424	1	734.494301
425	1	902.541163
426	1	2691.779644
427	1	2115.825997
428	1	6187.871072
429	1	434.238022
430	-1	6683.989929
431	1	1930.351753
432	1	580.514198
433	1	383.383466
434	-1	1415.224776
435	1	1952.197202
436	-1	6758.000968
437	1	3377.485242
438	1	1799.373462
439	-1	2437.111506
440	-1	2680.579744
441	1	1253.498804
442	1	458.671354
443	-1	9331.881757
444	-1	1747.035007
445	-1	963.730136
446	-1	1225.169621
447	1	3777.954661
448	1	1199.559976
449	-1	911.485390
450	-1	5990.338905
451	1	896.471814
452	1	10382.574567
453	-1	2184.617729
454	-1	6819.167065
455	1	3398.861302
456	-1	7504.913143
457	1	697.445127
458	1	442.379975
459	-1	4781.665866
460	-1	3204.523375
461	-1	2597.311917
462	-1	3832.522468
463	1	13734.070254
464	-1	2681.552310
465	-1	5786.767587
466	-1	2673.492991
467	-1	5525.195219
468	-1	3441.607279
469	-1	3061.975637
470	1	3486.997518
471	-1	7590.031443
472	1	518.403874
473	-1	917.726067
474	-1	1370.164182
475	1	657.995585
476	-1	4774.557274
477	1	1564.026967
478	1	1304.328076
479	1	2592.974099
480	1	1178.340320
481	-1	2548.456938
482	-1	1591.773200
483	-1	1547.746572
484	-1	1081.452890
485	1	5780.201489
486	-1	1365.978089
487	1	7435.301264
488	-1	1795.519878
489	1	2847.261798
490	-1	4577.647368
491	0	15000.005273
492	-1	3474.511099
493	-1	2552.107124
494	-1	14553.576242
495	1	1128.821321
496	-1	2318.449039
497	1	6509.412424
498	0	15000.303283
499	-1	1416.991862
500	-1	1724.745740
501	1	2991.303870
502	-1	689.278061
503	1	1174.217701
504	-1	5939.779851
505	0	15000.035440
506	-1	3031.752441
507	-1	2911.777582
508	-1	2760.887632
509	1	1393.898775
510	-1	6276.979384
511	-1	1046.726534
512	-1	7369.618247
513	1	6266.842466
514	-1	5355.048278
515	-1	5626.090852
516	1	1897.574378
517	-1	962.559632
518	1	2191.069911
519	-1	2916.908296
520	-1	1648.663394
521	-1	6344.822825
522	-1	952.332500
523	-1	1377.512863
524	1	758.108879
525	-1	1191.725721
526	-1	10185.894807
527	1	1169.510246
528	-1	3091.861016
529	-1	13356.119729
530	1	8918.249764
531	-1	3349.376689
532	-1	10266.446584
533	1	970.674335
534	1	8433.622606
535	1	653.975279
536	-1	1158.618336
537	1	8720.003347
538	1	1182.128962
539	1	848.131172
540	1	1978.577761
541	-1	1457.298446
542	-1	3525.269188
543	-1	1425.141519
544	-1	4741.562009
545	1	948.995037
546	1	1659.946679
547	-1	3653.216019
548	-1	2649.670596
549	-1	3043.076243
550	1	665.452375
551	-1	2395.529268
552	-1	1151.370955
553	-1	1948.739713
554	1	773.757132
555	1	13468.408369
556	-1	5702.035016
557	-1	3348.549465
558	1	370.237405
559	1	4184.904488
560	-1	2755.028814
561	-1	1800.043768
562	1	1271.074735
563	-1	1550.121162
564	1	944.634173
565	1	3754.401747
566	-1	1565.665774
567	-1	786.269147
568	1	6761.701563
569	-1	2468.172883
570	1	1409.652949
571	-1	7024.494753
572	-1	7870.796240
573	-1	1194.947410
574	-1	3318.441059
575	-1	3283.680604
576	-1	4613.683728
577	-1	2654.568089
578	1	1204.330739
579	1	1563.122366
580	-1	5442.970244
581	1	725.968565
582	-1	1665.644788
583	1	5100.429405
584	1	1314.681741
585	1	1849.874021
586	-1	1596.815227
587	1	1317.989640
588	1	429.773246
589	1	415.177465
590	-1	3173.559602
591	1	345.820716
592	-1	3313.702852
593	-1	5286.757402
594	-1	3529.782911
595	-1	2063.245372
596	-1	4551.289742
597	1	1222.104782
598	-1	1700.781836
599	-1	4287.111950
600	-1	1832.012972
601	-1	7533.605959
602	-1	789.754768
603	-1	1145.429684
604	1	479.825748
