Generation	env
12.600000	62.602036
12.650000	60.610994
12.700000	58.827545
12.750000	65.402066
12.800000	59.076609
12.850000	61.774847
12.900000	60.746388
12.950000	63.196168
13.000000	58.752721
13.050000	78.125850
13.100000	83.171366
13.150000	78.088202
13.200000	79.401746
13.250000	78.703586
13.300000	78.185610
13.350000	79.152457
13.400000	82.947851
13.450000	76.242231
13.500000	80.186305
13.550000	77.834614
13.600000	75.876223
13.650000	79.000180
13.700000	77.943414
13.750000	79.473751
13.800000	79.120892
13.850000	81.158457
13.900000	78.129930
13.950000	76.479679
14.000000	80.642552
14.050000	54.239940
14.100000	58.176985
14.150000	58.612321
14.200000	52.980475
14.250000	58.212451
14.300000	53.651171
14.350000	53.993764
14.400000	51.101556
14.450000	50.828053
14.500000	52.854022
14.550000	53.609661
14.600000	56.189909
14.650000	52.818818
14.700000	55.145778
14.750000	52.692696
14.800000	55.066465
14.850000	53.483580
14.900000	52.055380
14.950000	53.566970
15.000000	54.872430
15.050000	61.212189
15.100000	62.225891
15.150000	65.882971
15.200000	63.740959
15.250000	65.730822
15.300000	60.301194
15.350000	60.565536
15.400000	62.489139
15.450000	65.406002
15.500000	66.934306
15.550000	62.258867
15.600000	65.878192
15.650000	62.899122
15.700000	61.628695
15.750000	61.238034
15.800000	62.028715
15.850000	59.839106
15.900000	64.867622
15.950000	61.663346
16.000000	66.490990
16.050000	43.392513
16.100000	40.501486
16.150000	45.679827
16.200000	46.221727
16.250000	42.333403
16.300000	39.683191
16.350000	45.568620
16.400000	42.033580
16.450000	45.189304
16.500000	42.509990
16.550000	42.960351
16.600000	38.686372
16.650000	44.948724
16.700000	42.132395
16.750000	41.467747
16.800000	46.756113
16.850000	45.931004
16.900000	41.471289
16.950000	43.188571
17.000000	41.940025
17.050000	20.603758
17.100000	19.699095
17.150000	17.158898
17.200000	16.840792
17.250000	20.430605
17.300000	19.739692
17.350000	20.708069
17.400000	16.216346
17.450000	18.383827
17.500000	19.790129
17.550000	18.449912
17.600000	20.041419
17.650000	17.671785
17.700000	23.416893
17.750000	22.010238
17.800000	20.015769
17.850000	21.542183
17.900000	20.104981
17.950000	20.467739
18.000000	20.775076
18.050000	41.006272
18.100000	44.892440
18.150000	40.659243
