N1	N2	Generation	abf_1	abf_2
0.000000	0.000000	767.000000	1.429989	2.014239
0.000000	0.000000	768.000000	4.004666	2.198670
0.000000	0.000000	769.000000	4.135422	2.203808
0.000000	0.000000	770.000000	1.001341	1.555463
0.000000	0.000000	771.000000	0.999992	1.010541
0.000000	0.000000	772.000000	1.000001	1.321262
0.000000	0.000000	773.000000	4.409484	2.213869
0.000000	0.000000	774.000000	1.401493	1.983562
0.000000	0.000000	775.000000	1.790212	2.057015
0.000000	0.000000	776.000000	1.070502	1.840145
0.000000	0.000000	777.000000	1.001910	1.577271
0.000000	0.000000	778.000000	1.001459	1.579182
0.000000	0.000000	779.000000	1.052772	1.799991
0.000000	0.000000	780.000000	1.021522	1.763534
0.000000	0.000000	781.000000	3.421483	2.175662
0.000000	0.000000	782.000000	1.000339	1.514770
0.000000	0.000000	783.000000	1.009674	1.712442
0.000000	0.000000	784.000000	3.710735	2.185708
0.000000	0.000000	785.000000	4.446344	2.214469
0.000000	0.000000	786.000000	1.000023	1.403480
0.000000	0.000000	787.000000	1.097308	1.846704
0.000000	0.000000	788.000000	2.205917	2.095325
0.000000	0.000000	789.000000	0.999992	1.104576
0.000000	0.000000	790.000000	2.722721	2.140711
0.000000	0.000000	791.000000	1.133249	1.873944
0.000000	0.000000	792.000000	1.001202	1.588395
0.000000	0.000000	793.000000	1.266524	1.945147
0.000000	0.000000	794.000000	1.996834	2.074305
0.000000	0.000000	795.000000	2.015026	2.082920
0.000000	0.000000	796.000000	3.875564	2.194073
0.000000	0.000000	797.000000	2.166579	2.087384
0.000000	0.000000	798.000000	1.730686	2.050491
0.000000	0.000000	799.000000	1.171878	1.897617
0.000000	0.000000	800.000000	2.234117	2.100308
0.000000	0.000000	801.000000	4.239531	2.206339
0.000000	0.000000	802.000000	0.999992	1.175351
0.000000	0.000000	803.000000	4.690531	2.222235
0.000000	0.000000	804.000000	1.970573	2.082277
0.000000	0.000000	805.000000	0.999992	1.248919
0.000000	0.000000	806.000000	1.000469	1.512248
0.000000	0.000000	807.000000	1.019100	1.725531
0.000000	0.000000	808.000000	4.685616	2.221938
0.000000	0.000000	809.000000	1.195934	1.912499
0.000000	0.000000	810.000000	1.135301	1.900927
0.000000	0.000000	811.000000	1.308019	1.970327
0.000000	0.000000	812.000000	0.999997	1.347952
0.000000	0.000000	813.000000	1.520719	2.025879
0.000000	0.000000	814.000000	1.003104	1.630371
0.000000	0.000000	815.000000	1.000016	1.373118
0.000000	0.000000	816.000000	3.051594	2.155382
0.000000	0.000000	817.000000	1.000001	1.321451
0.000000	0.000000	818.000000	1.028687	1.739725
0.000000	0.000000	819.000000	1.959814	2.077711
0.000000	0.000000	820.000000	1.005363	1.665066
0.000000	0.000000	821.000000	1.427710	1.983245
0.000000	0.000000	822.000000	0.999992	1.099188
0.000000	0.000000	823.000000	4.457254	2.215137
0.000000	0.000000	824.000000	4.617794	2.219798
0.000000	0.000000	825.000000	1.853771	2.060959
0.000000	0.000000	826.000000	0.999992	1.201860
0.000000	0.000000	827.000000	1.000161	1.479086
0.000000	0.000000	828.000000	1.362446	1.991522
0.000000	0.000000	829.000000	1.005499	1.667986
0.000000	0.000000	830.000000	1.560083	2.024800
0.000000	0.000000	831.000000	1.072945	1.844264
0.000000	0.000000	832.000000	1.000015	1.368045
0.000000	0.000000	833.000000	3.623445	2.185403
0.000000	0.000000	834.000000	1.000041	1.366756
0.000000	0.000000	835.000000	1.021279	1.726784
0.000000	0.000000	836.000000	4.741642	2.223945
0.000000	0.000000	837.000000	2.418747	2.119132
0.000000	0.000000	838.000000	1.003463	1.574162
0.000000	0.000000	839.000000	1.000000	1.350298
0.000000	0.000000	840.000000	3.353188	2.175357
0.000000	0.000000	841.000000	1.058943	1.797396
0.000000	0.000000	842.000000	1.000064	1.407998
0.000000	0.000000	843.000000	1.001055	1.551372
0.000000	0.000000	844.000000	0.999999	1.342095
0.000000	0.000000	845.000000	1.296272	1.973826
0.000000	0.000000	846.000000	3.404772	2.172396
0.000000	0.000000	847.000000	1.002107	1.572835
0.000000	0.000000	848.000000	3.590123	2.183088
0.000000	0.000000	849.000000	1.606579	2.030799
0.000000	0.000000	850.000000	1.039459	1.796731
0.000000	0.000000	851.000000	2.140678	2.093655
0.000000	0.000000	852.000000	1.000048	1.371356
0.000000	0.000000	853.000000	0.999994	1.325978
0.000000	0.000000	854.000000	1.023005	1.768917
0.000000	0.000000	855.000000	1.089068	1.856590
0.000000	0.000000	856.000000	1.535637	2.007377
0.000000	0.000000	857.000000	1.000712	1.579917
0.000000	0.000000	858.000000	0.999994	1.243776
0.000000	0.000000	859.000000	2.301313	2.109532
0.000000	0.000000	860.000000	1.081464	1.815135
0.000000	0.000000	861.000000	1.000429	1.524680
0.000000	0.000000	862.000000	2.141214	2.096338
0.000000	0.000000	863.000000	1.000078	1.458724
0.000000	0.000000	864.000000	1.000434	1.417006
0.000000	0.000000	865.000000	1.002244	1.610927
0.000000	0.000000	866.000000	1.288795	1.977537
0.000000	0.000000	867.000000	1.113512	1.862348
0.000000	0.000000	868.000000	0.999992	1.227175
0.000000	0.000000	869.000000	1.147446	1.898212
0.000000	0.000000	870.000000	4.154504	2.203657
0.000000	0.000000	871.000000	4.472672	2.214893
0.000000	0.000000	872.000000	0.999992	1.139891
0.000000	0.000000	873.000000	1.929943	2.076618
0.000000	0.000000	874.000000	1.226265	1.937690
0.000000	0.000000	875.000000	0.999992	1.117552
0.000000	0.000000	876.000000	3.340928	2.170961
0.000000	0.000000	877.000000	1.051545	1.837490
0.000000	0.000000	878.000000	1.025563	1.767319
0.000000	0.000000	879.000000	1.002020	1.537721
0.000000	0.000000	880.000000	3.063810	2.155344
0.000000	0.000000	881.000000	1.066893	1.847219
0.000000	0.000000	882.000000	1.000030	1.434174
0.000000	0.000000	883.000000	1.002026	1.601566
0.000000	0.000000	884.000000	1.016386	1.725080
0.000000	0.000000	885.000000	1.545018	2.011579
0.000000	0.000000	886.000000	4.725387	2.223344
0.000000	0.000000	887.000000	0.999992	1.153570
0.000000	0.000000	888.000000	1.196499	1.920188
0.000000	0.000000	889.000000	2.245939	2.104941
0.000000	0.000000	890.000000	1.000054	1.420347
0.000000	0.000000	891.000000	0.999992	1.151443
0.000000	0.000000	892.000000	4.673897	2.222284
0.000000	0.000000	893.000000	1.012294	1.734894
0.000000	0.000000	894.000000	1.709905	2.054557
0.000000	0.000000	895.000000	0.999992	1.089982
0.000000	0.000000	896.000000	1.348928	1.997895
0.000000	0.000000	897.000000	4.431352	2.214070
0.000000	0.000000	898.000000	4.031624	2.200955
0.000000	0.000000	899.000000	1.000291	1.501207
0.000000	0.000000	900.000000	0.999992	1.085869
0.000000	0.000000	901.000000	0.999992	1.035799
0.000000	0.000000	902.000000	1.000877	1.571878
0.000000	0.000000	903.000000	1.000472	1.530167
0.000000	0.000000	904.000000	2.955444	2.149410
0.000000	0.000000	905.000000	0.999992	1.175447
0.000000	0.000000	906.000000	1.007622	1.689874
0.000000	0.000000	907.000000	0.999992	1.199892
0.000000	0.000000	908.000000	4.350822	2.210409
0.000000	0.000000	909.000000	3.299244	2.168952
0.000000	0.000000	910.000000	2.693962	2.139502
0.000000	0.000000	911.000000	3.608361	2.183428
0.000000	0.000000	912.000000	2.721518	2.138023
0.000000	0.000000	913.000000	1.000880	1.565073
0.000000	0.000000	914.000000	1.268188	1.927997
0.000000	0.000000	915.000000	4.745686	2.223960
0.000000	0.000000	916.000000	1.000968	1.540284
0.000000	0.000000	917.000000	1.005113	1.654641
0.000000	0.000000	918.000000	3.204227	2.165539
0.000000	0.000000	919.000000	1.000092	1.457044
0.000000	0.000000	920.000000	1.026228	1.774826
