Environment	abf_r	abf_b
41.700000	0.748273	0.726128
41.800000	0.783167	0.728873
41.900000	0.818772	0.731590
42.000000	0.855082	0.734279
42.100000	0.892089	0.736940
42.200000	0.929786	0.739573
42.300000	0.968162	0.742177
42.400000	1.007208	0.744753
42.500000	1.046913	0.747299
42.600000	1.087262	0.749817
42.700000	1.128244	0.752305
42.800000	1.169842	0.754764
42.900000	1.212042	0.757193
43.000000	1.254825	0.759592
43.100000	1.298174	0.761962
43.200000	1.342069	0.764301
43.300000	1.386489	0.766610
43.400000	1.431413	0.768888
43.500000	1.476817	0.771136
43.600000	1.522678	0.773353
43.700000	1.568970	0.775539
43.800000	1.615667	0.777694
43.900000	1.662741	0.779817
44.000000	1.710164	0.781910
44.100000	1.757906	0.783970
44.200000	1.805937	0.785999
44.300000	1.854225	0.787996
44.400000	1.902737	0.789961
44.500000	1.951439	0.791894
44.600000	2.000297	0.793795
44.700000	2.049276	0.795663
44.800000	2.098339	0.797498
44.900000	2.147448	0.799301
45.000000	2.196567	0.801071
45.100000	2.245655	0.802808
45.200000	2.294675	0.804513
45.300000	2.343585	0.806183
45.400000	2.392345	0.807821
45.500000	2.440914	0.809425
45.600000	2.489251	0.810996
45.700000	2.537312	0.812533
45.800000	2.585057	0.814036
45.900000	2.632441	0.815505
46.000000	2.679423	0.816940
46.100000	2.725958	0.818342
46.200000	2.772004	0.819709
46.300000	2.817517	0.821041
46.400000	2.862453	0.822340
46.500000	2.906770	0.823604
46.600000	2.950425	0.824833
46.700000	2.993373	0.826027
46.800000	3.035573	0.827187
46.900000	3.076983	0.828313
47.000000	3.117560	0.829403
47.100000	3.157263	0.830458
47.200000	3.196051	0.831478
47.300000	3.233883	0.832463
47.400000	3.270722	0.833413
47.500000	3.306526	0.834327
47.600000	3.341260	0.835207
47.700000	3.374884	0.836051
47.800000	3.407364	0.836859
47.900000	3.438665	0.837632
48.000000	3.468751	0.838369
48.100000	3.497591	0.839071
48.200000	3.525153	0.839737
48.300000	3.551406	0.840367
48.400000	3.576321	0.840961
48.500000	3.599870	0.841520
48.600000	3.622027	0.842043
48.700000	3.642768	0.842530
48.800000	3.662069	0.842981
48.900000	3.679907	0.843396
49.000000	3.696263	0.843775
49.100000	3.711119	0.844118
49.200000	3.724457	0.844425
49.300000	3.736261	0.844696
49.400000	3.746520	0.844930
49.500000	3.755220	0.845129
49.600000	3.762352	0.845292
49.700000	3.767908	0.845418
49.800000	3.771881	0.845509
49.900000	3.774266	0.845563
50.000000	3.775062	0.845581
50.100000	3.774266	0.845563
50.200000	3.771881	0.845509
50.300000	3.767908	0.845418
50.400000	3.762352	0.845292
50.500000	3.755220	0.845129
50.600000	3.746520	0.844930
50.700000	3.736261	0.844696
50.800000	3.724457	0.844425
50.900000	3.711119	0.844118
51.000000	3.696263	0.843775
51.100000	3.679907	0.843396
51.200000	3.662069	0.842981
51.300000	3.642768	0.842530
51.400000	3.622027	0.842043
51.500000	3.599870	0.841520
51.600000	3.576321	0.840961
51.700000	3.551406	0.840367
51.800000	3.525153	0.839737
51.900000	3.497591	0.839071
52.000000	3.468751	0.838369
52.100000	3.438665	0.837632
52.200000	3.407364	0.836859
52.300000	3.374884	0.836051
52.400000	3.341260	0.835207
52.500000	3.306526	0.834327
52.600000	3.270722	0.833413
52.700000	3.233883	0.832463
52.800000	3.196051	0.831478
52.900000	3.157263	0.830458
