Nr	Nb	time	environment	abf_r	abf_b
1816.180198	0.000000	40.000000	47.607152	-0.008817	-0.337739
951.108276	0.000000	40.250000	91.088859	-1.924510	-0.759645
644.037933	0.000000	40.500000	91.088859	-1.300441	-0.510017
486.735872	0.000000	40.750000	91.088859	-0.982242	-0.382738
391.113605	0.000000	41.000000	91.088859	-0.789304	-0.305562
326.839831	0.000000	41.250000	90.977097	-0.659826	-0.253194
280.669841	0.000000	41.500000	90.977097	-0.566920	-0.216032
245.899034	0.000000	41.750000	90.977097	-0.497010	-0.188067
218.769689	0.000000	42.000000	90.977097	-0.442497	-0.166262
197.012201	0.000000	42.250000	91.293538	-0.398800	-0.150371
179.174796	0.000000	42.500000	91.293538	-0.362989	-0.136047
164.285601	0.000000	42.750000	91.293538	-0.333108	-0.124095
151.669486	0.000000	43.000000	91.293538	-0.307795	-0.113970
140.842837	0.000000	43.250000	90.180962	-0.286078	-0.099047
131.450146	0.000000	43.500000	90.180962	-0.267241	-0.091512
123.224225	0.000000	43.750000	90.180962	-0.250747	-0.084914
115.960385	0.000000	44.000000	90.180962	-0.236184	-0.079089
109.499171	0.000000	44.250000	91.828206	-0.223232	-0.082517
103.714520	0.000000	44.500000	91.828206	-0.211638	-0.077880
98.505454	0.000000	44.750000	91.828206	-0.201199	-0.073704
93.790141	0.000000	45.000000	91.828206	-0.191750	-0.069924
89.501556	0.000000	45.250000	90.103754	-0.183156	-0.057375
85.584282	0.000000	45.500000	90.103754	-0.175308	-0.054236
81.992098	0.000000	45.750000	90.103754	-0.168111	-0.051357
78.686150	0.000000	46.000000	90.103754	-0.161489	-0.048708
75.633539	0.000000	46.250000	90.776359	-0.155374	-0.050331
72.806219	0.000000	46.500000	90.776359	-0.149711	-0.048066
70.180140	0.000000	46.750000	90.776359	-0.144451	-0.045962
67.734555	0.000000	47.000000	90.776359	-0.139553	-0.044003
65.451475	0.000000	47.250000	91.827336	-0.134981	-0.047213
63.315225	0.000000	47.500000	91.827336	-0.130703	-0.045502
61.312082	0.000000	47.750000	91.827336	-0.126691	-0.043897
59.429983	0.000000	48.000000	91.827336	-0.122922	-0.042390
57.658278	0.000000	48.250000	90.438651	-0.119375	-0.033976
55.987533	0.000000	48.500000	90.438651	-0.116029	-0.032638
54.409358	0.000000	48.750000	90.438651	-0.112870	-0.031374
52.916267	0.000000	49.000000	90.438651	-0.109880	-0.030178
51.501561	0.000000	49.250000	90.451200	-0.107048	-0.029121
50.159226	0.000000	49.500000	90.451200	-0.104360	-0.028046
48.883848	0.000000	49.750000	90.451200	-0.101807	-0.027025
47.670539	0.000000	50.000000	90.451200	-0.099378	-0.026053
46.514876	0.000000	50.250000	91.875437	-0.097064	-0.032242
45.412847	0.000000	50.500000	91.875437	-0.094858	-0.031360
44.360804	0.000000	50.750000	91.875437	-0.092752	-0.030517
43.355421	0.000000	51.000000	91.875437	-0.090740	-0.029712
42.393663	0.000000	51.250000	91.422669	-0.088814	-0.026985
41.472750	0.000000	51.500000	91.422669	-0.086971	-0.026248
40.590134	0.000000	51.750000	91.422669	-0.085204	-0.025541
39.743477	0.000000	52.000000	91.422669	-0.083510	-0.024864
38.930625	0.000000	52.250000	91.873418	-0.081883	-0.026161
38.149593	0.000000	52.500000	91.873418	-0.080319	-0.025536
37.398549	0.000000	52.750000	91.873418	-0.078816	-0.024935
36.675799	0.000000	53.000000	91.873418	-0.077369	-0.024356
35.979774	0.000000	53.250000	92.155512	-0.075976	-0.024887
35.309019	0.000000	53.500000	92.155512	-0.074634	-0.024350
34.662182	0.000000	53.750000	92.155512	-0.073339	-0.023832
34.038007	0.000000	54.000000	92.155512	-0.072090	-0.023332
33.435324	0.000000	54.250000	91.271334	-0.070884	-0.019098
32.853041	0.000000	54.500000	91.271334	-0.069718	-0.018632
32.290141	0.000000	54.750000	91.271334	-0.068592	-0.018182
31.745672	0.000000	55.000000	91.271334	-0.067502	-0.017746
31.218743	0.000000	55.250000	91.930245	-0.066448	-0.020214
30.708520	0.000000	55.500000	91.930245	-0.065427	-0.019806
30.214223	0.000000	55.750000	91.930245	-0.064437	-0.019410
29.735116	0.000000	56.000000	91.930245	-0.063479	-0.019027
29.270510	0.000000	56.250000	91.484329	-0.062549	-0.016762
28.819757	0.000000	56.500000	91.484329	-0.061647	-0.016401
28.382247	0.000000	56.750000	91.484329	-0.060771	-0.016051
27.957405	0.000000	57.000000	91.484329	-0.059921	-0.015710
27.544688	0.000000	57.250000	89.015934	-0.059095	0.000397
27.143585	0.000000	57.500000	89.015934	-0.058292	0.000718
26.753614	0.000000	57.750000	89.015934	-0.057512	0.001030
26.374316	0.000000	58.000000	89.015934	-0.056753	0.001334
26.005260	0.000000	58.250000	91.758259	-0.056015	-0.015341
25.646037	0.000000	58.500000	91.758259	-0.055296	-0.015054
25.296258	0.000000	58.750000	91.758259	-0.054596	-0.014774
24.955558	0.000000	59.000000	91.758259	-0.053914	-0.014501
24.623586	0.000000	59.250000	91.303227	-0.053250	-0.012198
24.300012	0.000000	59.500000	91.303227	-0.052602	-0.011939
23.984522	0.000000	59.750000	91.303227	-0.051971	-0.011686
23.676816	0.000000	60.000000	91.303227	-0.051355	-0.011440
37.494379	0.000000	60.250000	56.193043	1.824622	1.028119
58.863030	0.000000	60.500000	56.193043	1.782248	1.011170
91.192250	0.000000	60.750000	56.193043	1.718104	0.985512
138.515960	0.000000	61.000000	56.193043	1.624137	0.947925
202.511096	0.000000	61.250000	56.282482	1.455032	0.895083
285.392017	0.000000	61.500000	56.282482	1.290002	0.829071
384.241872	0.000000	61.750000	56.282482	1.092817	0.750197
491.182490	0.000000	62.000000	56.282482	0.879054	0.664692
582.230387	0.000000	62.250000	56.503742	0.594093	0.586646
661.270505	0.000000	62.500000	56.503742	0.435436	0.523183
724.709780	0.000000	62.750000	56.503742	0.307912	0.472173
772.497644	0.000000	63.000000	56.503742	0.211743	0.433706
717.664077	0.000000	63.250000	57.848033	-0.245491	0.443478
681.739462	0.000000	63.500000	57.848033	-0.173061	0.472450
657.312625	0.000000	63.750000	57.848033	-0.123843	0.492137
640.281470	0.000000	64.000000	57.848033	-0.089541	0.505858
536.840603	0.000000	64.250000	60.382609	-0.612732	0.512211
469.326750	0.000000	64.500000	60.382609	-0.476653	0.566643
422.063683	0.000000	64.750000	60.382609	-0.381501	0.604704
387.331962	0.000000	65.000000	60.382609	-0.311635	0.632650
451.356522	0.000000	65.250000	57.196770	0.550961	0.674749
510.007950	0.000000	65.500000	57.196770	0.433383	0.627717
560.698454	0.000000	65.750000	57.196770	0.331652	0.587025
602.350600	0.000000	66.000000	57.196770	0.247983	0.553558
595.109945	0.000000	66.250000	57.962953	-0.041756	0.539081
589.790012	0.000000	66.500000	57.962953	-0.031051	0.543363
585.860097	0.000000	66.750000	57.962953	-0.023144	0.546526
582.945397	0.000000	67.000000	57.962953	-0.017280	0.548872
690.323526	0.000000	67.250000	56.079968	0.575520	0.509562
778.325024	0.000000	67.500000	56.079968	0.398651	0.438814
844.398302	0.000000	67.750000	56.079968	0.265649	0.385613
890.817170	0.000000	68.000000	56.079968	0.172105	0.348196
779.474256	0.000000	68.250000	58.024653	-0.436274	0.388683
712.289674	0.000000	68.500000	58.024653	-0.300649	0.442933
668.789005	0.000000	68.750000	58.024653	-0.212932	0.478020
639.324471	0.000000	69.000000	58.024653	-0.153562	0.501768
621.388805	0.000000	69.250000	57.970660	-0.097514	0.517710
608.568608	0.000000	69.500000	57.970660	-0.071704	0.528034
599.284225	0.000000	69.750000	57.970660	-0.053017	0.535509
592.496592	0.000000	70.000000	57.970660	-0.039358	0.540973
591.872503	0.000000	70.250000	57.878536	-0.003644	0.544001
591.408716	0.000000	70.500000	57.878536	-0.002711	0.544374
591.063895	0.000000	70.750000	57.878536	-0.002017	0.544652
590.807433	0.000000	71.000000	57.878536	-0.001501	0.544858
628.183856	0.000000	71.250000	57.161834	0.210830	0.533675
656.994834	0.000000	71.500000	57.161834	0.152890	0.510499
678.567743	0.000000	71.750000	57.161834	0.109483	0.493136
694.372340	0.000000	72.000000	57.161834	0.077671	0.480412
630.150766	0.000000	72.250000	58.588077	-0.330616	0.493114
587.131879	0.000000	72.500000	58.588077	-0.243928	0.527789
557.007986	0.000000	72.750000	58.588077	-0.183270	0.552052
535.252484	0.000000	73.000000	58.588077	-0.139486	0.569566
588.970666	0.000000	73.250000	57.061523	0.332445	0.567723
632.506975	0.000000	73.500000	57.061523	0.244965	0.532732
666.285606	0.000000	73.750000	57.061523	0.177040	0.505561
691.617422	0.000000	74.000000	57.061523	0.126070	0.485173
705.442269	0.000000	74.250000	57.135518	0.066569	0.472167
715.326366	0.000000	74.500000	57.135518	0.046666	0.464206
722.322285	0.000000	74.750000	57.135518	0.032576	0.458570
727.238784	0.000000	75.000000	57.135518	0.022672	0.454608
651.565232	0.000000	75.250000	58.582451	-0.371957	0.476006
601.965929	0.000000	75.500000	58.582451	-0.271974	0.516000
567.743828	0.000000	75.750000	58.582451	-0.203046	0.543571
543.286972	0.000000	76.000000	58.582451	-0.153816	0.563263
585.902503	0.000000	76.250000	57.240980	0.262449	0.565651
619.888202	0.000000	76.500000	57.240980	0.194144	0.538329
646.082268	0.000000	76.750000	57.240980	0.141468	0.517258
665.744899	0.000000	77.000000	57.240980	0.101908	0.501434
778.035411	0.000000	77.250000	55.830855	0.519035	0.444555
864.965126	0.000000	77.500000	55.830855	0.344119	0.374589
926.656144	0.000000	77.750000	55.830855	0.219802	0.324862
967.784015	0.000000	78.000000	55.830855	0.136838	0.291676
864.234661	0.000000	78.250000	57.394301	-0.362006	0.337325
803.211004	0.000000	78.500000	57.394301	-0.238752	0.386626
764.862404	0.000000	78.750000	57.394301	-0.161374	0.417578
739.782630	0.000000	79.000000	57.394301	-0.110801	0.437807
687.945894	0.000000	79.250000	58.004458	-0.244118	0.463133
653.456347	0.000000	79.500000	58.004458	-0.174602	0.490940
629.677606	0.000000	79.750000	58.004458	-0.126702	0.510100
612.878580	0.000000	80.000000	58.004458	-0.092876	0.523630
468.718412	0.000000	80.250000	72.104872	-0.945764	0.092550
379.391687	0.000000	80.500000	72.104872	-0.765582	0.164623
318.612490	0.000000	80.750000	72.104872	-0.643168	0.213588
274.581261	0.000000	81.000000	72.104872	-0.554579	0.249024
241.211678	0.000000	81.250000	72.563755	-0.487531	0.256858
215.051042	0.000000	81.500000	72.563755	-0.434969	0.277883
193.991035	0.000000	81.750000	72.563755	-0.392675	0.294801
176.672442	0.000000	82.000000	72.563755	-0.357909	0.308707
162.177442	0.000000	82.250000	75.071455	-0.328875	0.220738
149.869237	0.000000	82.500000	75.071455	-0.304181	0.230616
139.287674	0.000000	82.750000	75.071455	-0.282956	0.239106
130.093241	0.000000	83.000000	75.071455	-0.264517	0.246481
122.030514	0.000000	83.250000	73.435874	-0.248332	0.317028
114.902206	0.000000	83.500000	73.435874	-0.234041	0.322744
108.554778	0.000000	83.750000	73.435874	-0.221318	0.327834
102.866582	0.000000	84.000000	73.435874	-0.209917	0.332394
97.741098	0.000000	84.250000	72.420199	-0.199599	0.377950
93.097809	0.000000	84.500000	72.420199	-0.190294	0.381672
88.871727	0.000000	84.750000	72.420199	-0.181827	0.385059
85.009041	0.000000	85.000000	72.420199	-0.174088	0.388155
81.463658	0.000000	85.250000	74.072638	-0.167043	0.324170
78.199046	0.000000	85.500000	74.072638	-0.160503	0.326786
75.183124	0.000000	85.750000	74.072638	-0.154462	0.329203
72.388519	0.000000	86.000000	74.072638	-0.148864	0.331442
69.791880	0.000000	86.250000	73.556888	-0.143655	0.354038
67.372761	0.000000	86.500000	73.556888	-0.138810	0.355976
65.113559	0.000000	86.750000	73.556888	-0.134285	0.357786
62.998927	0.000000	87.000000	73.556888	-0.130051	0.359480
61.015187	0.000000	87.250000	74.979841	-0.126094	0.305340
59.150763	0.000000	87.500000	74.979841	-0.122360	0.306833
57.395205	0.000000	87.750000	74.979841	-0.118845	0.308239
55.739249	0.000000	88.000000	74.979841	-0.115529	0.309565
54.174945	0.000000	88.250000	73.303281	-0.112375	0.376756
52.694620	0.000000	88.500000	73.303281	-0.109411	0.377942
51.291691	0.000000	88.750000	73.303281	-0.106603	0.379065
49.960242	0.000000	89.000000	73.303281	-0.103937	0.380132
48.695422	0.000000	89.250000	72.466407	-0.101365	0.415336
47.491911	0.000000	89.500000	72.466407	-0.098956	0.416300
46.345358	0.000000	89.750000	72.466407	-0.096660	0.417218
45.251813	0.000000	90.000000	72.466407	-0.094471	0.418094
44.208762	0.000000	90.250000	71.600644	-0.092285	0.455000
43.211780	0.000000	90.500000	71.600644	-0.090289	0.455799
42.257881	0.000000	90.750000	71.600644	-0.088379	0.456563
41.344333	0.000000	91.000000	71.600644	-0.086551	0.457294
40.467172	0.000000	91.250000	73.593838	-0.084940	0.376044
39.625640	0.000000	91.500000	73.593838	-0.083256	0.376717
38.817610	0.000000	91.750000	73.593838	-0.081639	0.377364
38.041120	0.000000	92.000000	73.593838	-0.080084	0.377986
37.296880	0.000000	92.250000	71.034781	-0.078322	0.484418
36.580553	0.000000	92.500000	71.034781	-0.076888	0.484991
35.890598	0.000000	92.750000	71.034781	-0.075507	0.485544
35.225584	0.000000	93.000000	71.034781	-0.074176	0.486076
34.582237	0.000000	93.250000	72.479830	-0.073116	0.426083
33.961370	0.000000	93.500000	72.479830	-0.071873	0.426580
33.361825	0.000000	93.750000	72.479830	-0.070673	0.427060
32.782523	0.000000	94.000000	72.479830	-0.069514	0.427523
32.222119	0.000000	94.250000	73.438627	-0.068434	0.388876
31.680024	0.000000	94.500000	73.438627	-0.067350	0.389310
31.155355	0.000000	94.750000	73.438627	-0.066300	0.389730
30.647286	0.000000	95.000000	73.438627	-0.065283	0.390137
30.155270	0.000000	95.250000	72.663770	-0.064268	0.422052
29.678341	0.000000	95.500000	72.663770	-0.063313	0.422433
29.215814	0.000000	95.750000	72.663770	-0.062388	0.422804
28.767048	0.000000	96.000000	72.663770	-0.061489	0.423163
28.331345	0.000000	96.250000	72.926573	-0.060631	0.412748
27.908231	0.000000	96.500000	72.926573	-0.059784	0.413087
27.497170	0.000000	96.750000	72.926573	-0.058961	0.413416
27.097653	0.000000	97.000000	72.926573	-0.058162	0.413736
26.709700	0.000000	97.250000	71.943672	-0.057310	0.454643
26.332338	0.000000	97.500000	71.943672	-0.056555	0.454945
25.965140	0.000000	97.750000	71.943672	-0.055821	0.455239
25.607700	0.000000	98.000000	71.943672	-0.055105	0.455525
25.258936	0.000000	98.250000	75.254723	-0.054519	0.323540
24.919211	0.000000	98.500000	75.254723	-0.053839	0.323812
24.588177	0.000000	98.750000	75.254723	-0.053177	0.324077
24.265506	0.000000	99.000000	75.254723	-0.052531	0.324335
23.951637	0.000000	99.250000	71.827428	-0.051777	0.461709
