N1	N2	time	environment	abf_1	abf_2
1294.675700	4.285218	37.500000	54.982735	-0.185723	0.081106
1251.557779	4.394920	37.750000	54.982735	-0.098408	0.115849
1229.102300	4.535705	38.000000	54.982735	-0.053033	0.133763
1287.297188	4.673418	38.250000	54.364462	0.134148	0.099178
1319.017192	4.773045	38.500000	54.364462	0.069828	0.073282
1335.729282	4.851755	38.750000	54.364462	0.035902	0.059578
1344.372928	4.919515	39.000000	54.364462	0.018329	0.052435
1537.577740	4.908255	39.250000	52.690373	0.368406	-0.076619
1637.215787	4.759143	39.500000	52.690373	0.166332	-0.157202
1683.443402	4.550858	39.750000	52.690373	0.072554	-0.194364
1703.860956	4.324691	40.000000	52.690373	0.031216	-0.210519
1712.706727	4.098865	40.250000	48.947610	0.013405	-0.217264
1716.530184	3.880615	40.500000	48.947610	0.005804	-0.219938
1718.202828	3.672469	40.750000	48.947610	0.002571	-0.220881
1718.958414	3.475041	41.000000	48.947610	0.001194	-0.221099
1877.309551	3.241390	41.250000	50.292030	0.219547	-0.331391
1943.741883	2.959945	41.500000	50.292030	0.084452	-0.384957
1969.644773	2.680071	41.750000	50.292030	0.031866	-0.405521
1979.488642	2.418938	42.000000	50.292030	0.012001	-0.413027
1926.032971	2.192735	42.250000	51.565255	-0.066024	-0.375148
1906.112782	2.001404	42.500000	51.565255	-0.025247	-0.358515
1898.538676	1.831601	42.750000	51.565255	-0.009668	-0.351997
1895.655723	1.677969	43.000000	51.565255	-0.003666	-0.349338
1949.584851	1.529934	43.250000	50.396064	0.067916	-0.387035
1970.420730	1.385357	43.500000	50.396064	0.025547	-0.403740
1978.300182	1.251189	43.750000	50.396064	0.009585	-0.409899
1981.271709	1.128951	44.000000	50.396064	0.003623	-0.412078
1847.106093	1.031504	44.250000	47.543743	-0.171933	-0.317593
1796.727738	0.958648	44.500000	47.543743	-0.069202	-0.276378
1776.671567	0.896836	44.750000	47.543743	-0.028306	-0.259915
1768.508222	0.841255	45.000000	47.543743	-0.011640	-0.253156
1871.614819	0.782328	45.250000	51.113669	0.140708	-0.324816
1913.915905	0.717629	45.500000	51.113669	0.054584	-0.359157
1930.465878	0.654691	45.750000	51.113669	0.020899	-0.372525
1936.827546	0.596019	46.000000	51.113669	0.007976	-0.377595
1967.271047	0.540731	46.250000	49.688245	0.037492	-0.399315
1978.847832	0.000000	46.500000	49.688245	0.014322	-0.407672
1983.261561	0.000000	46.750000	49.688245	0.005318	-0.411274
1984.901798	0.000000	47.000000	49.688245	0.001972	-0.412612
1960.812698	0.000000	47.250000	48.951585	-0.029263	-0.395594
1951.861914	0.000000	47.500000	48.951585	-0.011006	-0.388292
1948.501011	0.000000	47.750000	48.951585	-0.004151	-0.385550
1947.234073	0.000000	48.000000	48.951585	-0.001568	-0.384516
1964.183154	0.000000	48.250000	50.622164	0.020819	-0.396473
1970.574429	0.000000	48.500000	50.622164	0.007783	-0.401687
1972.966598	0.000000	48.750000	50.622164	0.002904	-0.403639
1973.859455	0.000000	49.000000	50.622164	0.001083	-0.404367
1809.363595	0.000000	49.250000	47.218291	-0.215144	-0.289013
1747.243275	0.000000	49.500000	47.218291	-0.088578	-0.238386
1722.020795	0.000000	49.750000	47.218291	-0.037234	-0.217849
