rep	outcome	time
199	0	2000.000000
200	0	2000.000000
201	0	2000.000000
202	0	2000.000000
203	0	2000.000000
204	0	2000.000000
205	0	2000.000000
206	0	2000.000000
207	0	2000.000000
208	0	2000.000000
209	0	2000.000000
210	-1	727.285000
211	0	2000.000000
212	0	2000.000000
213	1	1720.045000
214	0	2000.000000
215	0	2000.000000
216	0	2000.000000
217	0	2000.000000
218	0	2000.000000
219	1	1776.530000
220	0	2000.000000
221	0	2000.000000
222	0	2000.000000
223	0	2000.000000
224	0	2000.000000
225	0	2000.000000
226	0	2000.000000
227	0	2000.000000
228	0	2000.000000
229	1	1738.550000
230	-1	548.630000
231	1	1370.990000
232	0	2000.000000
233	0	2000.000000
234	-1	1121.895000
235	0	2000.000000
236	0	2000.000000
237	1	1113.430000
238	0	2000.000000
239	0	2000.000000
240	0	2000.000000
241	1	1600.850000
242	0	2000.000000
243	-1	1100.045000
244	-1	1742.605000
245	0	2000.000000
246	0	2000.000000
247	0	2000.000000
248	0	2000.000000
249	0	2000.000000
250	0	2000.000000
251	0	2000.000000
252	0	2000.000000
253	0	2000.000000
254	0	2000.000000
255	-1	745.275000
256	0	2000.000000
257	-1	1320.805000
258	0	2000.000000
259	0	2000.000000
260	0	2000.000000
261	0	2000.000000
262	0	2000.000000
263	0	2000.000000
264	0	2000.000000
265	0	2000.000000
266	1	1416.340000
267	0	2000.000000
268	0	2000.000000
269	0	2000.000000
270	0	2000.000000
271	0	2000.000000
272	0	2000.000000
273	-1	1989.405000
274	0	2000.000000
275	-1	1500.645000
276	0	2000.000000
277	-1	907.380000
278	-1	1823.100000
279	0	2000.000000
280	-1	1581.235000
281	0	2000.000000
282	0	2000.000000
283	0	2000.000000
284	0	2000.000000
285	0	2000.000000
286	0	2000.000000
287	-1	1217.385000
288	-1	1638.975000
289	0	2000.000000
290	-1	1783.645000
291	0	2000.000000
292	-1	606.835000
293	0	2000.000000
294	0	2000.000000
295	0	2000.000000
296	0	2000.000000
297	0	2000.000000
298	0	2000.000000
299	0	2000.000000
300	-1	669.540000
301	0	2000.000000
302	0	2000.000000
303	1	1884.450000
304	0	2000.000000
305	-1	1296.500000
306	0	2000.000000
307	0	2000.000000
308	0	2000.000000
309	0	2000.000000
310	0	2000.000000
311	0	2000.000000
312	0	2000.000000
313	0	2000.000000
314	0	2000.000000
315	0	2000.000000
316	0	2000.000000
317	-1	930.920000
318	0	2000.000000
319	0	2000.000000
320	0	2000.000000
321	0	2000.000000
322	0	2000.000000
323	0	2000.000000
324	-1	473.775000
325	0	2000.000000
326	-1	1553.595000
327	-1	1338.210000
328	0	2000.000000
329	0	2000.000000
330	0	2000.000000
331	0	2000.000000
332	0	2000.000000
333	-1	1363.730000
334	0	2000.000000
335	0	2000.000000
336	-1	701.875000
337	0	2000.000000
338	0	2000.000000
339	0	2000.000000
340	0	2000.000000
341	0	2000.000000
342	-1	1497.640000
343	0	2000.000000
344	0	2000.000000
345	0	2000.000000
346	0	2000.000000
347	0	2000.000000
348	0	2000.000000
349	-1	1483.095000
350	0	2000.000000
351	-1	1743.845000
352	0	2000.000000
353	0	2000.000000
354	0	2000.000000
355	0	2000.000000
356	0	2000.000000
357	-1	1395.075000
358	-1	1053.775000
359	0	2000.000000
360	0	2000.000000
361	0	2000.000000
362	0	2000.000000
363	-1	537.965000
364	0	2000.000000
365	-1	1528.080000
366	-1	1279.055000
367	0	2000.000000
368	0	2000.000000
369	0	2000.000000
370	0	2000.000000
371	0	2000.000000
372	0	2000.000000
373	0	2000.000000
374	-1	1686.900000
375	0	2000.000000
376	0	2000.000000
377	0	2000.000000
378	0	2000.000000
379	0	2000.000000
380	0	2000.000000
381	0	2000.000000
382	0	2000.000000
383	0	2000.000000
384	1	1649.345000
385	-1	901.500000
386	0	2000.000000
387	0	2000.000000
388	0	2000.000000
389	-1	1582.175000
390	0	2000.000000
391	0	2000.000000
392	1	1740.970000
393	0	2000.000000
394	0	2000.000000
395	0	2000.000000
396	0	2000.000000
397	0	2000.000000
398	0	2000.000000
399	0	2000.000000
400	0	2000.000000
401	0	2000.000000
402	0	2000.000000
403	0	2000.000000
404	0	2000.000000
405	0	2000.000000
406	0	2000.000000
407	0	2000.000000
408	-1	1348.725000
409	0	2000.000000
410	0	2000.000000
411	0	2000.000000
412	0	2000.000000
413	0	2000.000000
414	0	2000.000000
415	-1	544.670000
416	0	2000.000000
417	0	2000.000000
418	0	2000.000000
419	0	2000.000000
420	0	2000.000000
421	0	2000.000000
422	0	2000.000000
423	0	2000.000000
424	0	2000.000000
425	0	2000.000000
426	0	2000.000000
427	0	2000.000000
428	0	2000.000000
429	0	2000.000000
430	0	2000.000000
431	-1	1788.075000
432	-1	1365.850000
433	0	2000.000000
434	0	2000.000000
435	0	2000.000000
436	0	2000.000000
437	0	2000.000000
438	0	2000.000000
439	0	2000.000000
440	0	2000.000000
441	0	2000.000000
442	1	1979.345000
443	0	2000.000000
444	0	2000.000000
445	0	2000.000000
446	0	2000.000000
447	-1	861.585000
448	-1	1453.370000
449	-1	1063.350000
450	1	1547.600000
451	-1	1880.220000
452	0	2000.000000
453	0	2000.000000
454	0	2000.000000
455	-1	1178.030000
456	-1	1714.390000
457	0	2000.000000
458	0	2000.000000
459	0	2000.000000
460	0	2000.000000
461	-1	1800.310000
462	0	2000.000000
463	0	2000.000000
464	0	2000.000000
465	0	2000.000000
466	0	2000.000000
